Date & Time,Temperature,Date
01-20-1977 02:00 AM,24,01-20-1977
01-20-1977 03:00 AM,23,01-20-1977
01-20-1977 04:00 AM,24,01-20-1977
01-20-1977 05:00 AM,21,01-20-1977
01-20-1977 06:00 AM,20,01-20-1977
01-20-1977 07:00 AM,21,01-20-1977
01-20-1977 08:00 AM,25,01-20-1977
01-20-1977 09:00 AM,27,01-20-1977
01-20-1977 09:00 PM,34,01-20-1977
01-20-1977 11:00 PM,32,01-20-1977
01-21-1977 12:00 AM,33,01-21-1977
01-21-1977 01:00 AM,32,01-21-1977
01-21-1977 02:00 AM,32,01-21-1977
01-21-1977 03:00 AM,31,01-21-1977
01-21-1977 04:00 AM,32,01-21-1977
01-21-1977 05:00 AM,33,01-21-1977
01-21-1977 06:00 AM,32,01-21-1977
01-21-1977 07:00 AM,30,01-21-1977
01-21-1977 08:00 AM,32,01-21-1977
01-22-1977 12:00 AM,34,01-22-1977
01-22-1977 01:00 AM,33,01-22-1977
01-22-1977 02:00 AM,32,01-22-1977
01-22-1977 03:00 AM,32,01-22-1977
01-22-1977 04:00 AM,33,01-22-1977
01-22-1977 07:00 AM,34,01-22-1977
01-23-1977 06:00 AM,34,01-23-1977
01-30-1977 06:00 AM,32,01-30-1977
01-30-1977 07:00 AM,32,01-30-1977
01-30-1977 08:00 AM,33,01-30-1977
02-01-1977 07:00 AM,34,02-01-1977
02-18-1977 04:00 AM,32,02-18-1977
02-18-1977 05:00 AM,31,02-18-1977
02-18-1977 06:00 AM,33,02-18-1977
02-18-1977 07:00 AM,31,02-18-1977
02-21-1977 06:00 AM,34,02-21-1977
12-27-1977 06:00 AM,33,12-27-1977
12-27-1977 07:00 AM,34,12-27-1977
12-28-1977 03:00 AM,34,12-28-1977
12-28-1977 04:00 AM,34,12-28-1977
12-28-1977 06:00 AM,32,12-28-1977
12-28-1977 07:00 AM,31,12-28-1977
12-28-1977 08:00 AM,32,12-28-1977
01-10-1978 05:00 AM,34,01-10-1978
01-10-1978 06:00 AM,34,01-10-1978
01-10-1978 07:00 AM,34,01-10-1978
01-10-1978 08:00 AM,34,01-10-1978
01-10-1978 09:00 AM,34,01-10-1978
01-15-1978 06:00 AM,33,01-15-1978
01-15-1978 07:00 AM,33,01-15-1978
01-15-1978 08:00 AM,32,01-15-1978
01-15-1978 09:00 AM,33,01-15-1978
01-16-1978 01:00 AM,33,01-16-1978
01-16-1978 02:00 AM,31,01-16-1978
01-16-1978 03:00 AM,30,01-16-1978
01-16-1978 04:00 AM,30,01-16-1978
01-16-1978 05:00 AM,30,01-16-1978
01-16-1978 06:00 AM,31,01-16-1978
01-16-1978 07:00 AM,32,01-16-1978
01-16-1978 08:00 AM,32,01-16-1978
01-30-1978 03:00 AM,34,01-30-1978
01-30-1978 04:00 AM,34,01-30-1978
01-30-1978 05:00 AM,33,01-30-1978
01-30-1978 06:00 AM,32,01-30-1978
01-30-1978 07:00 AM,32,01-30-1978
01-30-1978 08:00 AM,34,01-30-1978
02-07-1978 04:00 AM,34,02-07-1978
02-07-1978 05:00 AM,34,02-07-1978
02-07-1978 06:00 AM,33,02-07-1978
02-07-1978 07:00 AM,31,02-07-1978
02-07-1978 08:00 AM,33,02-07-1978
02-23-1978 04:00 AM,31,02-23-1978
02-23-1978 05:00 AM,33,02-23-1978
02-23-1978 06:00 AM,31,02-23-1978
02-23-1978 07:00 AM,31,02-23-1978
02-23-1978 08:00 AM,34,02-23-1978
01-03-1979 01:00 AM,34,01-03-1979
01-03-1979 02:00 AM,33,01-03-1979
01-03-1979 03:00 AM,32,01-03-1979
01-03-1979 04:00 AM,31,01-03-1979
01-03-1979 05:00 AM,30,01-03-1979
01-03-1979 06:00 AM,29,01-03-1979
